Year,Gebietseinheit,GeoCode,Value
2007,"Leer",K03457,124
2007,"Oldenburg",K03458,81
2007,"Osnabrück",K03459,183
2007,"Vechta",K03460,213
2007,"Wesermarsch",K03461,96
2007,"Wittmund",K03462,21
2007,"Statistische Region Weser-Ems",K034,2453
2007,"Niedersachsen",K030,9251
2008,"Braunschweig, Stadt",K03101,286
2008,"Salzgitter, Stadt",K03102,110
2008,"Wolfsburg, Stadt",K03103,137
2008,"Gifhorn",K03151,137
2008,"Goslar",K03153,123
2008,"Helmstedt",K03154,45
2008,"Northeim",K03155,66
2008,"Peine",K03157,140
2008,"Wolfenbüttel",K03158,106
2008,"Göttingen",K03159,274
2008,"Statistische Region Braunschweig",K031,1424
2008,"Hannover  Region",K03241,2144
2008,"dav. Hannover, Lhst.",K03241001,1431
2008,"dav. Hannover, Umland",K03241999,713
2008,"Diepholz",K03251,182
2008,"Hameln-Pyrmont",K03252,181
2008,"Hildesheim",K03254,334
2008,"Holzminden",K03255,47
2008,"Nienburg (Weser)",K03256,73
2008,"Schaumburg",K03257,116
2008,"Statistische Region Hannover",K032,3077
2008,"Celle",K03351,120
2008,"Cuxhaven",K03352,130
2008,"Harburg",K03353,169
2008,"Lüchow-Dannenberg",K03354,13
2008,"Lüneburg",K03355,209
2008,"Osterholz",K03356,53
2008,"Rotenburg (Wümme)",K03357,83
2008,"Heidekreis",K03358,122
2008,"Stade",K03359,127
2008,"Uelzen",K03360,74
2008,"Verden",K03361,91
2008,"Statistische Region Lüneburg",K033,1191
2008,"Delmenhorst, Stadt",K03401,192
2008,"Emden  Stadt",K03402,31
2008,"Oldenburg(Oldb), Stadt",K03403,278
2008,"Osnabrück, Stadt",K03404,255
2008,"Wilhelmshaven, Stadt",K03405,88
2008,"Ammerland",K03451,71
2008,"Aurich",K03452,97
2008,"Cloppenburg",K03453,68
2008,"Emsland",K03454,118
2008,"Friesland",K03455,64
2008,"Grafschaft Bentheim",K03456,116
2008,"Leer",K03457,110
2008,"Oldenburg",K03458,61
2008,"Osnabrück",K03459,219
2008,"Vechta",K03460,150
2008,"Wesermarsch",K03461,83
2008,"Wittmund",K03462,11
2008,"Statistische Region Weser-Ems",K034,2012
2008,"Niedersachsen",K030,7704
2009,"Braunschweig, Stadt",K03101,294
2009,"Salzgitter, Stadt",K03102,136
2009,"Wolfsburg, Stadt",K03103,190
2009,"Gifhorn",K03151,82
2009,"Goslar",K03153,79
2009,"Helmstedt",K03154,41
2009,"Northeim",K03155,42
2009,"Peine",K03157,84
2009,"Wolfenbüttel",K03158,71
2009,"Göttingen",K03159,222
2009,"Statistische Region Braunschweig",K031,1241
2009,"Hannover  Region",K03241,2002
2009,"dav. Hannover, Lhst.",K03241001,1329
2009,"dav. Hannover, Umland",K03241999,673
2009,"Diepholz",K03251,137
2009,"Hameln-Pyrmont",K03252,131
2009,"Hildesheim",K03254,244
2009,"Holzminden",K03255,47
2009,"Nienburg (Weser)",K03256,106
2009,"Schaumburg",K03257,127
2009,"Statistische Region Hannover",K032,2794
2009,"Celle",K03351,137
2009,"Cuxhaven",K03352,123
2009,"Harburg",K03353,204
2009,"Lüchow-Dannenberg",K03354,8
2009,"Lüneburg",K03355,167
2009,"Osterholz",K03356,66
2009,"Rotenburg (Wümme)",K03357,109
2009,"Heidekreis",K03358,93
2009,"Stade",K03359,134
2009,"Uelzen",K03360,51
2009,"Verden",K03361,124
2009,"Statistische Region Lüneburg",K033,1216
2009,"Delmenhorst, Stadt",K03401,204
2009,"Emden  Stadt",K03402,37
2009,"Oldenburg(Oldb), Stadt",K03403,215
2009,"Osnabrück, Stadt",K03404,222
2009,"Wilhelmshaven, Stadt",K03405,110
2009,"Ammerland",K03451,44
2009,"Aurich",K03452,106
2009,"Cloppenburg",K03453,101
2009,"Emsland",K03454,109
2009,"Friesland",K03455,39
2009,"Grafschaft Bentheim",K03456,109
2009,"Leer",K03457,129
2009,"Oldenburg",K03458,81
2009,"Osnabrück",K03459,189
2009,"Vechta",K03460,179
2009,"Wesermarsch",K03461,86
2009,"Wittmund",K03462,12
2009,"Statistische Region Weser-Ems",K034,1972
2009,"Niedersachsen",K030,7223
2010,"Braunschweig, Stadt",K03101,314
2010,"Salzgitter, Stadt",K03102,120
2010,"Wolfsburg, Stadt",K03103,194
2010,"Gifhorn",K03151,90
2010,"Goslar",K03153,135
2010,"Helmstedt",K03154,49
2010,"Northeim",K03155,70
2010,"Peine",K03157,119
2010,"Wolfenbüttel",K03158,77
2010,"Göttingen",K03159,183
2010,"Statistische Region Braunschweig",K031,1351
2010,"Hannover  Region",K03241,1866
2010,"dav. Hannover, Lhst.",K03241001,1276
2010,"dav. Hannover, Umland",K03241999,590
2010,"Diepholz",K03251,143
2010,"Hameln-Pyrmont",K03252,93
2010,"Hildesheim",K03254,245
2010,"Holzminden",K03255,36
2010,"Nienburg (Weser)",K03256,132
2010,"Schaumburg",K03257,124
2010,"Statistische Region Hannover",K032,2639
2010,"Celle",K03351,136
2010,"Cuxhaven",K03352,114
2010,"Harburg",K03353,207
2010,"Lüchow-Dannenberg",K03354,6
2010,"Lüneburg",K03355,172
2010,"Osterholz",K03356,67
2010,"Rotenburg (Wümme)",K03357,103
2010,"Heidekreis",K03358,80
2010,"Stade",K03359,152
2010,"Uelzen",K03360,44
2010,"Verden",K03361,117
2010,"Statistische Region Lüneburg",K033,1198
2010,"Delmenhorst, Stadt",K03401,214
2010,"Emden  Stadt",K03402,36
2010,"Oldenburg(Oldb), Stadt",K03403,234
2010,"Osnabrück, Stadt",K03404,233
2010,"Wilhelmshaven, Stadt",K03405,107
2010,"Ammerland",K03451,63
2010,"Aurich",K03452,138
2010,"Cloppenburg",K03453,89
2010,"Emsland",K03454,152
2010,"Friesland",K03455,81
2010,"Grafschaft Bentheim",K03456,132
2010,"Leer",K03457,121
2010,"Oldenburg",K03458,95
2010,"Osnabrück",K03459,211
2010,"Vechta",K03460,164
2010,"Wesermarsch",K03461,75
2010,"Wittmund",K03462,30
2010,"Statistische Region Weser-Ems",K034,2175
2010,"Niedersachsen",K030,7363
2011,"Braunschweig, Stadt",K03101,288
2011,"Salzgitter, Stadt",K03102,141
2011,"Wolfsburg, Stadt",K03103,203
2011,"Gifhorn",K03151,88
2011,"Goslar",K03153,106
2011,"Helmstedt",K03154,55
2011,"Northeim",K03155,84
2011,"Peine",K03157,124
2011,"Wolfenbüttel",K03158,100
2011,"Göttingen",K03159,312
2011,"Statistische Region Braunschweig",K031,1501
2011,"Hannover  Region",K03241,2166
2011,"dav. Hannover, Lhst.",K03241001,1449
2011,"dav. Hannover, Umland",K03241999,717
2011,"Diepholz",K03251,135
2011,"Hameln-Pyrmont",K03252,138
2011,"Hildesheim",K03254,260
2011,"Holzminden",K03255,52
2011,"Nienburg (Weser)",K03256,121
2011,"Schaumburg",K03257,130
2011,"Statistische Region Hannover",K032,3002
2011,"Celle",K03351,160
2011,"Cuxhaven",K03352,116
2011,"Harburg",K03353,225
2011,"Lüchow-Dannenberg",K03354,5
2011,"Lüneburg",K03355,152
2011,"Osterholz",K03356,47
2011,"Rotenburg (Wümme)",K03357,123
2011,"Heidekreis",K03358,114
2011,"Stade",K03359,122
2011,"Uelzen",K03360,57
2011,"Verden",K03361,144
2011,"Statistische Region Lüneburg",K033,1265
2011,"Delmenhorst, Stadt",K03401,202
2011,"Emden  Stadt",K03402,46
2011,"Oldenburg(Oldb), Stadt",K03403,222
2011,"Osnabrück, Stadt",K03404,260
2011,"Wilhelmshaven, Stadt",K03405,83
2011,"Ammerland",K03451,76
2011,"Aurich",K03452,148
2011,"Cloppenburg",K03453,109
2011,"Emsland",K03454,171
2011,"Friesland",K03455,66
2011,"Grafschaft Bentheim",K03456,133
2011,"Leer",K03457,86
2011,"Oldenburg",K03458,144
2011,"Osnabrück",K03459,194
